dataset,split,class_name,method,path,frame_count,planned_frames,detected_frames,detection_rate,median_box_width_px,median_score,median_centre_step_px,max_centre_step_px
DFD,train,real,real,DFD_original sequences/02__walking_outside_cafe_disgusted.mp4,577,145,127,0.8758620689655172,189.0,1.0,0.0,206.3358917236328
DFD,train,real,real,DFD_original sequences/03__exit_phone_room.mp4,620,156,137,0.8782051282051282,159.0,1.0,0.0,304.05633544921875
DFD,train,real,real,DFD_original sequences/03__hugging_happy.mp4,816,205,204,0.9951219512195122,228.0,1.0,21.0,105.01071166992188
DFD,train,real,real,DFD_original sequences/03__kitchen_pan.mp4,549,138,132,0.9565217391304348,225.0,1.0,24.0,63.0
DFD,train,real,real,DFD_original sequences/03__kitchen_still.mp4,955,240,240,1.0,225.0,1.0,0.0,36.06244659423828
DFD,train,real,real,DFD_original sequences/03__meeting_serious.mp4,960,241,236,0.979253112033195,111.0,1.0,0.0,446.50897216796875
DFD,train,real,real,DFD_original sequences/03__outside_talking_pan_laughing.mp4,731,184,178,0.967391304347826,159.0,1.0,18.0,48.83646011352539
DFD,train,real,real,DFD_original sequences/03__outside_talking_still_laughing.mp4,949,238,237,0.9957983193277311,159.0,1.0,15.0,54.08327102661133
DFD,train,real,real,DFD_original sequences/03__podium_speech_happy.mp4,839,211,211,1.0,189.0,1.0,3.3541018962860107,42.0
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0000.mp4,469,118,118,1.0,94.20000457763672,1.0,1.0407533645629883,25.02191162109375
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0001.mp4,303,77,77,1.0,132.46875,1.0,1.8398406505584717,32.25556564331055
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0002.mp4,350,89,89,1.0,160.4343719482422,1.0,0.0,24.978511810302734
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0003.mp4,529,133,133,1.0,160.4343719482422,1.0,0.0,29.14162254333496
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0004.mp4,326,83,83,1.0,160.4343719482422,1.0,0.0,50.801021575927734
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0005.mp4,459,116,111,0.9568965517241379,158.96250915527344,1.0,6.5824384689331055,63.90379333496094
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0006.mp4,534,135,135,1.0,111.86250305175781,1.0,0.0,17.69314193725586
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0007.mp4,479,121,121,1.0,191.34375,1.0,0.0,42.17375946044922
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0008.mp4,464,117,117,1.0,191.34375,1.0,0.0,63.2906494140625
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id0_0009.mp4,520,131,130,0.9923664122137404,111.86250305175781,1.0,7.96038293838501,36.796875
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0000.mp4,239,61,61,1.0,160.3874969482422,1.0,0.0,34.81231689453125
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0001.mp4,145,37,9,0.24324324324324326,192.56248474121094,1.0,22.21875,30.3927001953125
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0002.mp4,322,82,82,1.0,194.1875,1.0,7.355849742889404,48.10243606567383
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0003.mp4,351,89,86,0.9662921348314607,194.1875,1.0,20.9124755859375,61.261993408203125
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0004.mp4,517,130,130,1.0,136.7843780517578,1.0,7.846546649932861,32.940425872802734
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0005.mp4,318,81,81,1.0,162.81875610351562,1.0,17.186222076416016,59.69860076904297
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0006.mp4,172,44,41,0.9318181818181818,120.0,1.0,10.304908752441406,293.9812927246094
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0007.mp4,502,127,124,0.9763779527559056,194.1875,1.0,0.0,270.217041015625
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0008.mp4,380,96,96,1.0,130.0,1.0,0.0,28.0
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id10_0009.mp4,535,135,135,1.0,114.0,1.0,11.63748550415039,42.02677536010742
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id11_0006.mp4,316,41,41,1.0,135.078125,1.0,2.6240291595458984,22.536117553710938
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id13_0000.mp4,327,42,42,1.0,133.875,1.0,0.0,16.379419326782227
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id13_0012.mp4,510,65,65,1.0,158.96250915527344,1.0,0.0,49.95709228515625
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id20_0008.mp4,338,44,44,1.0,136.90625,1.0,0.0,36.332794189453125
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id22_0000.mp4,199,26,26,1.0,131.52655029296875,1.0,13.21875,155.20774841308594
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id23_0002.mp4,319,41,41,1.0,171.84375,1.0,16.57622718811035,93.93688201904297
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id26_0004.mp4,350,45,45,1.0,206.6999969482422,1.0,2.670626640319824,68.23748779296875
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id28_0006.mp4,323,42,42,1.0,120.29061889648438,1.0,9.623417854309082,29.683395385742188
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id29_0008.mp4,450,58,58,1.0,143.77499389648438,1.0,5.725894927978516,22.59208106994629
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id30_0000.mp4,504,64,62,0.96875,143.4375,1.0,15.9375,60.37493133544922
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id31_0002.mp4,485,62,62,1.0,119.53125,1.0,0.0,79.6875
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id32_0004.mp4,428,55,55,1.0,156.0,1.0,16.959461212158203,37.473323822021484
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id33_0006.mp4,266,35,35,1.0,144.4250030517578,1.0,15.899993896484375,65.55738067626953
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id34_0008.mp4,516,66,66,1.0,131.83749389648438,1.0,13.25,74.7245864868164
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id36_0000.mp4,416,53,50,0.9433962264150944,120.57499694824219,1.0,12.743463516235352,52.375247955322266
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id37_0002.mp4,458,59,59,1.0,173.875,1.0,0.0,43.66891098022461
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id38_0004.mp4,457,58,58,1.0,145.78750610351562,1.0,12.564690589904785,35.29201126098633
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id39_0006.mp4,335,43,43,1.0,144.08436584472656,1.0,11.000184059143066,44.86593246459961
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id3_0008.mp4,458,59,59,1.0,130.0,1.0,3.1622776985168457,31.764760971069336
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id41_0000.mp4,306,40,40,1.0,172.65625,1.0,8.399800300598145,60.48439407348633
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id42_0002.mp4,317,41,41,1.0,173.0625,1.0,18.637542724609375,49.992855072021484
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id43_0009.mp4,334,43,43,1.0,194.59686279296875,1.0,0.0,26.015625
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id45_0005.mp4,327,42,42,1.0,120.57499694824219,1.0,0.0,26.5
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id46_0007.mp4,335,43,43,1.0,105.46875,1.0,10.691267013549805,19.887378692626953
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id47_0009.mp4,342,44,44,1.0,142.08750915527344,1.0,0.0,56.37649917602539
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id4_0001.mp4,459,59,59,1.0,158.96250915527344,1.0,17.662506103515625,55.156063079833984
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id51_0003.mp4,329,42,42,1.0,144.4499969482422,1.0,17.128358840942383,71.50309753417969
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id52_0005.mp4,464,59,59,1.0,101.6500015258789,1.0,6.018653392791748,24.824954986572266
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id53_0007.mp4,447,57,57,1.0,121.7125015258789,1.0,13.375,42.29546356201172
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id55_0009.mp4,610,78,78,1.0,121.7125015258789,1.0,0.0,19.497236251831055
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id58_0001.mp4,458,59,59,1.0,145.78750610351562,1.0,0.0,22.698110580444336
CelebDFv3,val,real,real/Real_WEB,REAL/Real_WEB/id59_0003.mp4,479,61,60,0.9836065573770492,173.875,1.0,20.107032775878906,79.21793365478516
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id5_0005.mp4,405,52,52,1.0,275.2406311035156,1.0,0.0,30.909393310546875
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id60_0007.mp4,494,63,62,0.9841269841269841,144.4499969482422,1.0,17.258390426635742,64.95486450195312
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id6_0009.mp4,530,68,68,1.0,158.96250915527344,1.0,0.0,35.32501220703125
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id8_0001.mp4,457,58,56,0.9655172413793104,78.0093765258789,1.0,8.128658294677734,19.091890335083008
CelebDFv3,train,real,real/Real_WEB,REAL/Real_WEB/id9_0003.mp4,492,63,63,1.0,191.34375,1.0,0.0,45.65183639526367
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00006.mp4,486,62,62,1.0,258.07501220703125,1.0,0.0,63.6021728515625
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00023.mp4,463,59,59,1.0,217.4250030517578,1.0,23.693740844726562,86.00972747802734
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00035.mp4,458,59,59,1.0,259.4624938964844,1.0,28.4437255859375,65.65748596191406
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00051.mp4,367,47,47,1.0,126.83125305175781,1.0,3.2549967765808105,19.710601806640625
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00066.mp4,457,58,58,1.0,125.43750762939453,1.0,0.0,13.9375
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00080.mp4,478,61,61,1.0,151.91876220703125,1.0,14.339426040649414,68.95893859863281
CelebDFv3,val,real,real/Real_YouTube,REAL/Real_YouTube/00093.mp4,495,63,62,0.9841269841269841,87.8062515258789,1.0,0.0,21.882312774658203
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00106.mp4,327,42,42,1.0,151.91876220703125,1.0,16.725006103515625,68.2830810546875
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00123.mp4,303,39,39,1.0,181.1875,1.0,0.0,79.44378662109375
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00137.mp4,353,45,45,1.0,151.2375030517578,1.0,15.956207275390625,37.95391082763672
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00152.mp4,698,89,89,1.0,217.4250030517578,1.0,13.313786506652832,47.821044921875
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00164.mp4,526,67,67,1.0,73.8687515258789,1.0,6.96875,24.90293312072754
CelebDFv3,val,real,real/Real_YouTube,REAL/Real_YouTube/00179.mp4,451,58,58,1.0,181.1875,1.0,16.253787994384766,64.20335388183594
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00195.mp4,495,63,61,0.9682539682539683,181.1875,1.0,19.51251220703125,86.00977325439453
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00207.mp4,126,17,16,0.9411764705882353,150.52500915527344,1.0,27.98798942565918,68.2830810546875
CelebDFv3,val,real,real/Real_YouTube,REAL/Real_YouTube/00221.mp4,448,57,57,1.0,216.03125,1.0,18.54857635498047,94.3152847290039
CelebDFv3,val,real,real/Real_YouTube,REAL/Real_YouTube/00234.mp4,363,47,47,1.0,151.2375030517578,1.0,15.835125923156738,27.471113204956055
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00247.mp4,467,60,60,1.0,125.43750762939453,1.0,5.57501220703125,27.875
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00260.mp4,316,41,41,1.0,190.6125030517578,1.0,16.490251541137695,44.748817443847656
CelebDFv3,val,real,real/Real_YouTube,REAL/Real_YouTube/00272.mp4,317,41,41,1.0,100.2249984741211,1.0,0.6593780517578125,66.2335433959961
CelebDFv3,train,real,real/Real_YouTube,REAL/Real_YouTube/00286.mp4,462,59,57,0.9661016949152542,84.26249694824219,1.0,6.893399238586426,35.063167572021484
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id21_0001.mp4,252,33,33,1.0,109.0,1.0,9.808845520019531,37.947330474853516
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id28_0009.mp4,330,43,43,1.0,130.0,1.0,0.0,19.79899024963379
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id9_0006.mp4,400,51,51,1.0,130.0,1.0,12.0,37.51333236694336
CelebDFv3,val,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id13_id7_0008.mp4,290,38,38,1.0,130.0,1.0,0.0,31.11269760131836
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id20_id28_0000.mp4,183,24,24,1.0,130.0,1.0,0.0,77.44837188720703
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id20_id2_0008.mp4,515,66,66,1.0,156.0,1.0,9.219544410705566,38.910152435302734
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id20_id35_0001.mp4,507,65,65,1.0,130.0,1.0,8.200610160827637,36.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id20_id4_0002.mp4,490,63,63,1.0,130.0,1.0,0.0,32.202484130859375
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id21_id0_0004.mp4,325,42,42,1.0,130.0,1.0,14.0,63.95310592651367
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id21_id2_0001.mp4,375,48,48,1.0,156.0,1.0,0.0,17.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id21_id33_0006.mp4,265,34,34,1.0,156.0,1.0,17.5,70.7000732421875
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id21_id37_0008.mp4,482,62,62,1.0,130.0,1.0,14.0,25.05992889404297
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id21_id6_0009.mp4,529,67,67,1.0,130.0,1.0,0.0,38.82331848144531
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id22_id28_0005.mp4,331,43,43,1.0,156.0,1.0,0.0,45.77389907836914
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id26_id29_0008.mp4,449,57,57,1.0,156.0,1.0,0.0,24.748737335205078
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id26_id32_0001.mp4,570,73,73,1.0,130.0,1.0,10.605318069458008,46.840152740478516
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id26_id37_0004.mp4,369,47,47,1.0,109.0,1.0,7.1896281242370605,19.448650360107422
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id28_id0_0004.mp4,325,42,42,1.0,156.0,1.0,13.928388595581055,61.29437255859375
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id28_id22_0002.mp4,143,19,19,1.0,130.0,1.0,10.630146026611328,32.649654388427734
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id28_id2_0005.mp4,306,40,40,1.0,130.0,1.0,0.0,15.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id28_id33_0002.mp4,158,21,21,1.0,156.0,1.0,2.2360680103302,37.336307525634766
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id28_id3_0007.mp4,196,26,25,0.9615384615384616,156.0,1.0,17.5,38.910152435302734
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id29_id20_0004.mp4,157,21,21,1.0,108.0,1.0,0.0,12.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id29_id30_0000.mp4,277,36,36,1.0,130.0,1.0,14.0,51.312767028808594
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id29_id34_0005.mp4,230,30,30,1.0,130.0,1.0,14.0,40.112342834472656
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id2_id0_0001.mp4,302,39,30,0.7692307692307693,155.0,1.0,12.806248664855957,65.09416198730469
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id2_id26_0007.mp4,282,37,37,1.0,130.0,1.0,10.371009826660156,29.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id2_id35_0009.mp4,143,19,12,0.631578947368421,142.5,1.0,16.492422103881836,56.603885650634766
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id2_id4_0008.mp4,324,42,42,1.0,130.0,1.0,14.0,39.77750778198242
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id21_0001.mp4,252,33,33,1.0,130.0,1.0,14.0,43.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id28_0007.mp4,300,39,39,1.0,156.0,1.0,3.1622776985168457,29.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id32_0001.mp4,570,73,73,1.0,130.0,1.0,7.5744476318359375,45.54119110107422
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id34_0008.mp4,515,66,65,0.9848484848484849,156.0,1.0,17.0,86.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id38_0003.mp4,474,61,58,0.9508196721311475,155.5,1.0,0.0,38.82331848144531
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id30_id6_0006.mp4,293,38,38,1.0,109.0,1.0,4.031128883361816,19.704059600830078
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id31_id26_0006.mp4,146,20,20,1.0,130.0,1.0,14.422204971313477,32.202484130859375
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id31_id30_0005.mp4,447,57,56,0.9824561403508771,155.0,1.0,0.0,43.5
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id31_id34_0006.mp4,126,17,17,1.0,130.0,1.0,18.649494171142578,43.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id31_id38_0001.mp4,260,34,34,1.0,155.0,1.0,0.0,54.865745544433594
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id31_id9_0002.mp4,230,30,30,1.0,156.0,1.0,10.049875259399414,30.647186279296875
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id32_id29_0004.mp4,363,47,47,1.0,130.0,1.0,14.0,45.221675872802734
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id32_id35_0002.mp4,379,49,49,1.0,156.0,1.0,7.504240036010742,61.88093566894531
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id33_id21_0005.mp4,164,22,22,1.0,130.0,1.0,14.0,29.820295333862305
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id33_id32_0007.mp4,455,58,58,1.0,130.0,1.0,0.0,21.21320343017578
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id34_id20_0002.mp4,124,17,17,1.0,130.0,1.0,11.031128883361816,25.961509704589844
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id34_id30_0008.mp4,496,63,63,1.0,109.0,1.0,0.0,16.970561981201172
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id34_id33_0009.mp4,153,20,20,1.0,109.0,1.0,12.0,39.512657165527344
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id35_id21_0003.mp4,172,23,23,1.0,156.0,1.0,17.5,39.13119125366211
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id35_id30_0001.mp4,326,42,42,1.0,130.0,1.0,14.0,43.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id35_id33_0006.mp4,265,34,34,1.0,156.0,1.0,17.0,79.34261322021484
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id35_id4_0009.mp4,482,62,62,1.0,109.0,1.0,11.5,31.7844295501709
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id37_id21_0006.mp4,358,46,46,1.0,156.0,1.0,15.305228233337402,38.910152435302734
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id37_id29_0007.mp4,305,39,39,1.0,156.0,1.0,12.979597091674805,48.10405349731445
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id37_id31_0009.mp4,189,25,25,1.0,156.0,1.0,0.0,32.202484130859375
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id37_id35_0002.mp4,379,49,49,1.0,130.0,1.0,0.0,51.0
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id37_id6_0003.mp4,371,48,48,1.0,130.0,1.0,4.924428939819336,29.546573638916016
CelebDFv3,train,fake,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id38_id28_0004.mp4,310,40,40,1.0,156.0,1.0,9.219544410705566,38.46101760864258
