dataset,relative_path,width,height,resolution,frame_count,fps,duration_seconds,file_size_bytes,file_size_mb,status,error
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id12_0001.mp4,256,256,256x256,397,30.0,13.233,157381,0.15,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id12_0004.mp4,256,256,256x256,312,30.0,10.4,109348,0.104,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id12_0005.mp4,256,256,256x256,313,30.0,10.433,110263,0.105,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id13_0006.mp4,256,256,256x256,295,30.0,9.833,84560,0.081,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id13_0008.mp4,256,256,256x256,458,30.0,15.267,99026,0.094,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id7_0008.mp4,256,256,256x256,290,30.0,9.667,64439,0.061,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0000.mp4,256,256,256x256,108,30.0,3.6,39879,0.038,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0002.mp4,256,256,256x256,269,30.0,8.967,78133,0.075,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0003.mp4,256,256,256x256,554,30.0,18.467,390257,0.372,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0004.mp4,256,256,256x256,739,30.0,24.633,203023,0.194,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0006.mp4,256,256,256x256,213,30.0,7.1,115144,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0008.mp4,256,256,256x256,290,30.0,9.667,79681,0.076,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id11_id7_0009.mp4,256,256,256x256,457,30.0,15.233,147784,0.141,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id12_id10_0001.mp4,256,256,256x256,137,30.0,4.567,60212,0.057,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id12_id7_0001.mp4,256,256,256x256,294,30.0,9.8,103685,0.099,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id12_id7_0002.mp4,256,256,256x256,269,30.0,8.967,95486,0.091,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id12_id7_0005.mp4,256,256,256x256,160,30.0,5.333,73794,0.07,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id12_id7_0006.mp4,256,256,256x256,213,30.0,7.1,115044,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id10_0003.mp4,256,256,256x256,258,30.0,8.6,85894,0.082,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id10_0004.mp4,256,256,256x256,516,30.0,17.2,216406,0.206,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id10_0005.mp4,256,256,256x256,290,30.0,9.667,140863,0.134,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id7_0001.mp4,256,256,256x256,294,30.0,9.8,122562,0.117,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id7_0005.mp4,256,256,256x256,160,30.0,5.333,69218,0.066,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id13_id7_0008.mp4,256,256,256x256,290,30.0,9.667,68474,0.065,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id0_0001.mp4,256,256,256x256,302,30.0,10.067,107292,0.102,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id0_0003.mp4,256,256,256x256,528,30.0,17.6,189352,0.181,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id0_0005.mp4,256,256,256x256,196,30.0,6.533,79078,0.075,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id0_0006.mp4,256,256,256x256,533,30.0,17.767,135392,0.129,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id0_0009.mp4,256,256,256x256,172,30.0,5.733,75472,0.072,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id17_0004.mp4,256,256,256x256,298,30.0,9.933,129960,0.124,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id1_0000.mp4,256,256,256x256,364,30.0,12.133,127349,0.121,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id1_0001.mp4,256,256,256x256,271,30.0,9.033,80107,0.076,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id1_0002.mp4,256,256,256x256,399,30.0,13.3,105520,0.101,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id20_0001.mp4,256,256,256x256,283,30.0,9.433,89682,0.086,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id20_0006.mp4,256,256,256x256,327,30.0,10.9,103097,0.098,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id20_0007.mp4,256,256,256x256,346,30.0,11.533,129844,0.124,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id21_0001.mp4,256,256,256x256,252,30.0,8.4,74006,0.071,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id21_0005.mp4,256,256,256x256,164,30.0,5.467,65566,0.063,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id21_0006.mp4,256,256,256x256,358,30.0,11.933,97800,0.093,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id21_0009.mp4,256,256,256x256,318,30.0,10.6,97486,0.093,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id23_0000.mp4,256,256,256x256,317,30.0,10.567,93241,0.089,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id23_0001.mp4,256,256,256x256,308,30.0,10.267,77340,0.074,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id23_0002.mp4,256,256,256x256,140,30.0,4.667,46769,0.045,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id26_0002.mp4,256,256,256x256,321,30.0,10.7,111157,0.106,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id26_0003.mp4,256,256,256x256,248,30.0,8.267,98467,0.094,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id28_0005.mp4,256,256,256x256,331,30.0,11.033,124341,0.119,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id28_0009.mp4,256,256,256x256,330,30.0,11.0,76585,0.073,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id2_0000.mp4,256,256,256x256,444,30.0,14.8,129059,0.123,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id2_0001.mp4,256,256,256x256,375,30.0,12.5,75650,0.072,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id2_0009.mp4,256,256,256x256,172,30.0,5.733,55591,0.053,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id30_0000.mp4,256,256,256x256,277,30.0,9.233,114689,0.109,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id30_0009.mp4,256,256,256x256,478,30.0,15.933,107150,0.102,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id31_0006.mp4,256,256,256x256,364,30.0,12.133,109888,0.105,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id35_0002.mp4,256,256,256x256,379,30.0,12.633,113082,0.108,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id35_0005.mp4,256,256,256x256,294,30.0,9.8,143873,0.137,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id35_0007.mp4,256,256,256x256,398,30.0,13.267,191270,0.182,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id37_0001.mp4,256,256,256x256,136,30.0,4.533,44597,0.043,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id3_0000.mp4,256,256,256x256,404,30.0,13.467,132729,0.127,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id6_0000.mp4,256,256,256x256,629,30.0,20.967,151963,0.145,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id6_0001.mp4,256,256,256x256,314,30.0,10.467,92729,0.088,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id6_0003.mp4,256,256,256x256,371,30.0,12.367,126465,0.121,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id6_0004.mp4,256,256,256x256,457,30.0,15.233,178042,0.17,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id6_0009.mp4,256,256,256x256,529,30.0,17.633,184217,0.176,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id9_0004.mp4,256,256,256x256,361,30.0,12.033,120437,0.115,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id16_id9_0006.mp4,256,256,256x256,400,30.0,13.333,168752,0.161,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id0_0003.mp4,256,256,256x256,528,30.0,17.6,218559,0.208,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id0_0004.mp4,256,256,256x256,325,30.0,10.833,124909,0.119,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id0_0006.mp4,256,256,256x256,533,30.0,17.767,145571,0.139,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id16_0006.mp4,256,256,256x256,223,30.0,7.433,71649,0.068,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id16_0009.mp4,256,256,256x256,314,30.0,10.467,97445,0.093,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id1_0000.mp4,256,256,256x256,364,30.0,12.133,190408,0.182,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id1_0001.mp4,256,256,256x256,271,30.0,9.033,88877,0.085,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id1_0002.mp4,256,256,256x256,399,30.0,13.3,109767,0.105,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id1_0005.mp4,256,256,256x256,421,30.0,14.033,186736,0.178,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id20_0003.mp4,256,256,256x256,336,30.0,11.2,112447,0.107,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id21_0001.mp4,256,256,256x256,252,30.0,8.4,80655,0.077,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id21_0004.mp4,256,256,256x256,224,30.0,7.467,68638,0.065,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id21_0005.mp4,256,256,256x256,164,30.0,5.467,72240,0.069,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id21_0006.mp4,256,256,256x256,358,30.0,11.933,106619,0.102,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id23_0002.mp4,256,256,256x256,140,30.0,4.667,52190,0.05,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id23_0003.mp4,256,256,256x256,185,30.0,6.167,61762,0.059,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id23_0004.mp4,256,256,256x256,123,30.0,4.1,59493,0.057,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id23_0005.mp4,256,256,256x256,268,30.0,8.933,85819,0.082,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id26_0005.mp4,256,256,256x256,335,30.0,11.167,83561,0.08,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id28_0001.mp4,256,256,256x256,332,30.0,11.067,86340,0.082,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id28_0005.mp4,256,256,256x256,331,30.0,11.033,149012,0.142,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id28_0007.mp4,256,256,256x256,300,30.0,10.0,127925,0.122,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id28_0009.mp4,256,256,256x256,330,30.0,11.0,65994,0.063,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id2_0000.mp4,256,256,256x256,444,30.0,14.8,182298,0.174,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id2_0004.mp4,256,256,256x256,424,30.0,14.133,129825,0.124,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id30_0002.mp4,256,256,256x256,464,30.0,15.467,125325,0.12,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id30_0004.mp4,256,256,256x256,316,30.0,10.533,105813,0.101,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id30_0005.mp4,256,256,256x256,447,30.0,14.9,124658,0.119,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id30_0006.mp4,256,256,256x256,365,30.0,12.167,141339,0.135,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id30_0007.mp4,256,256,256x256,455,30.0,15.167,171565,0.164,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id31_0002.mp4,256,256,256x256,484,30.0,16.133,127390,0.121,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id31_0009.mp4,256,256,256x256,189,30.0,6.3,44034,0.042,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id35_0000.mp4,256,256,256x256,486,30.0,16.2,217265,0.207,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id35_0002.mp4,256,256,256x256,379,30.0,12.633,113247,0.108,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id35_0004.mp4,256,256,256x256,248,30.0,8.267,99542,0.095,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id35_0007.mp4,256,256,256x256,398,30.0,13.267,182072,0.174,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id37_0002.mp4,256,256,256x256,392,30.0,13.067,83861,0.08,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id37_0005.mp4,256,256,256x256,457,30.0,15.233,116727,0.111,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id3_0002.mp4,256,256,256x256,427,30.0,14.233,169385,0.162,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id3_0006.mp4,256,256,256x256,408,30.0,13.6,144366,0.138,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id3_0007.mp4,256,256,256x256,196,30.0,6.533,105447,0.101,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id6_0000.mp4,256,256,256x256,629,30.0,20.967,221969,0.212,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id6_0003.mp4,256,256,256x256,371,30.0,12.367,161697,0.154,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id6_0004.mp4,256,256,256x256,457,30.0,15.233,160292,0.153,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id6_0009.mp4,256,256,256x256,529,30.0,17.633,155486,0.148,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id9_0001.mp4,256,256,256x256,436,30.0,14.533,152517,0.145,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id9_0002.mp4,256,256,256x256,230,30.0,7.667,67300,0.064,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id9_0006.mp4,256,256,256x256,400,30.0,13.333,169398,0.162,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id17_id9_0007.mp4,256,256,256x256,429,30.0,14.3,172481,0.164,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id20_0001.mp4,256,256,256x256,283,30.0,9.433,95317,0.091,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id20_0007.mp4,256,256,256x256,346,30.0,11.533,118585,0.113,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id20_0009.mp4,256,256,256x256,333,30.0,11.1,123091,0.117,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id21_0007.mp4,256,256,256x256,144,30.0,4.8,35266,0.034,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id22_0005.mp4,256,256,256x256,364,30.0,12.133,115462,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id22_0007.mp4,256,256,256x256,332,30.0,11.067,87996,0.084,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id22_0009.mp4,256,256,256x256,136,30.0,4.533,57243,0.055,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id23_0000.mp4,256,256,256x256,317,30.0,10.567,87356,0.083,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id23_0002.mp4,256,256,256x256,140,30.0,4.667,42888,0.041,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id23_0004.mp4,256,256,256x256,123,30.0,4.1,57303,0.055,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id23_0008.mp4,256,256,256x256,307,30.0,10.233,85460,0.082,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id23_0009.mp4,256,256,256x256,315,30.0,10.5,98512,0.094,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id24_0008.mp4,256,256,256x256,322,30.0,10.733,95009,0.091,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id24_0009.mp4,256,256,256x256,309,30.0,10.3,93660,0.089,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id25_0001.mp4,256,256,256x256,341,30.0,11.367,84229,0.08,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id25_0002.mp4,256,256,256x256,306,30.0,10.2,100420,0.096,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0002.mp4,256,256,256x256,321,30.0,10.7,104551,0.1,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0004.mp4,256,256,256x256,349,30.0,11.633,115260,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0006.mp4,256,256,256x256,146,30.0,4.867,54475,0.052,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0007.mp4,256,256,256x256,282,30.0,9.4,92765,0.088,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0008.mp4,256,256,256x256,204,30.0,6.8,59940,0.057,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id26_0009.mp4,256,256,256x256,255,30.0,8.5,112340,0.107,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id27_0004.mp4,256,256,256x256,306,30.0,10.2,114796,0.109,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id19_id27_0008.mp4,256,256,256x256,330,30.0,11.0,126859,0.121,ok,
